Algorithm,Model,Dataset,Parameters,MSE,MAE,R-Squared,Adj-R-Squared
RF,Model 1,Training Set,"max_depth = 15, max_features = log2, min_samples_leaf = 10, n_estimators = 500",0.019543,0.069436,0.491446,0.490527
RF,Model 1,Training Set,"max_depth = 15, max_features = log2, min_samples_leaf = 20, n_estimators = 100",0.021847,0.073908,0.431472,0.430445
RF,Model 1,Training Set,"max_depth = 15, max_features = log2, min_samples_leaf = 20, n_estimators = 300",0.021955,0.074030,0.428664,0.427632
RF,Model 1,Training Set,"max_depth = 15, max_features = log2, min_samples_leaf = 20, n_estimators = 500",0.021964,0.074047,0.428432,0.427399
RF,Model 1,Training Set,"max_depth = 15, max_features = log2, min_samples_leaf = 5, n_estimators = 100",0.016439,0.064700,0.572215,0.571442
RF,Model 1,Training Set,"max_depth = 15, max_features = log2, min_samples_leaf = 5, n_estimators = 300",0.016539,0.064595,0.569619,0.568841
RF,Model 1,Training Set,"max_depth = 15, max_features = log2, min_samples_leaf = 5, n_estimators = 500",0.016511,0.064441,0.570337,0.569561
RF,Model 1,Training Set,"max_depth = 15, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100",0.018459,0.067199,0.519643,0.518776
RF,Model 1,Training Set,"max_depth = 15, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300",0.018563,0.067178,0.516932,0.516059
RF,Model 1,Training Set,"max_depth = 15, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500",0.018585,0.067147,0.516355,0.515482
RF,Model 1,Training Set,"max_depth = 15, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100",0.020817,0.071587,0.458275,0.457297
RF,Model 1,Training Set,"max_depth = 15, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300",0.020959,0.071704,0.454584,0.453599
RF,Model 1,Training Set,"max_depth = 15, max_features = sqrt, min_samples_leaf = 20, n_estimators = 500",0.020933,0.071677,0.455255,0.454271
RF,Model 1,Training Set,"max_depth = 15, max_features = sqrt, min_samples_leaf = 5, n_estimators = 100",0.015323,0.062000,0.601257,0.600537
RF,Model 1,Training Set,"max_depth = 15, max_features = sqrt, min_samples_leaf = 5, n_estimators = 300",0.015524,0.062029,0.596024,0.595294
RF,Model 1,Training Set,"max_depth = 15, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500",0.015549,0.061964,0.595369,0.594638
RF,Model 1,Training Set,"max_depth = 5, max_features = 1.0, min_samples_leaf = 10, n_estimators = 100",0.021868,0.080888,0.430928,0.429900
RF,Model 1,Training Set,"max_depth = 5, max_features = 1.0, min_samples_leaf = 10, n_estimators = 300",0.021805,0.080687,0.432559,0.431534
RF,Model 1,Training Set,"max_depth = 5, max_features = 1.0, min_samples_leaf = 10, n_estimators = 500",0.021844,0.080674,0.431552,0.430526
RF,Model 1,Training Set,"max_depth = 5, max_features = 1.0, min_samples_leaf = 20, n_estimators = 100",0.022280,0.080781,0.420200,0.419152
RF,Model 1,Training Set,"max_depth = 5, max_features = 1.0, min_samples_leaf = 20, n_estimators = 300",0.022240,0.080634,0.421257,0.420211
RF,Model 1,Training Set,"max_depth = 5, max_features = 1.0, min_samples_leaf = 20, n_estimators = 500",0.022263,0.080599,0.420652,0.419605
RF,Model 1,Training Set,"max_depth = 5, max_features = 1.0, min_samples_leaf = 5, n_estimators = 100",0.021308,0.081155,0.445495,0.444494
RF,Model 1,Training Set,"max_depth = 5, max_features = 1.0, min_samples_leaf = 5, n_estimators = 300",0.021230,0.080886,0.447523,0.446525
RF,Model 1,Training Set,"max_depth = 5, max_features = 1.0, min_samples_leaf = 5, n_estimators = 500",0.021249,0.080860,0.447040,0.446041
RF,Model 1,Training Set,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 100",0.027097,0.088939,0.294850,0.293576
RF,Model 1,Training Set,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 300",0.027485,0.089420,0.284751,0.283459
RF,Model 1,Training Set,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 500",0.027476,0.089269,0.285006,0.283714
RF,Model 1,Training Set,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 100",0.027373,0.088991,0.287673,0.286386
